Month,State,Average_order_Value_by_State_n_Month
2018-07-01 00:00:00 UTC,AL,165.9
2018-03-01 00:00:00 UTC,MT,165.6
2017-07-01 00:00:00 UTC,RO,165.4
2018-03-01 00:00:00 UTC,RN,165.2
2016-11-01 00:00:00 UTC,SP,165.2
2017-05-01 00:00:00 UTC,MT,165.1
2017-07-01 00:00:00 UTC,DF,165
2017-05-01 00:00:00 UTC,RS,165
2017-12-01 00:00:00 UTC,TO,165
2017-03-01 00:00:00 UTC,BA,165
2018-05-01 00:00:00 UTC,DF,164.8
2017-12-01 00:00:00 UTC,PE,164.5
2018-04-01 00:00:00 UTC,BA,164.4
2018-06-01 00:00:00 UTC,RJ,164.3
2017-12-01 00:00:00 UTC,CE,163.7
2018-01-01 00:00:00 UTC,TO,163.5
2017-08-01 00:00:00 UTC,SE,163.3
2018-07-01 00:00:00 UTC,MG,162.9
2017-10-01 00:00:00 UTC,MG,162.9
2018-02-01 00:00:00 UTC,RR,162.8
2017-05-01 00:00:00 UTC,CE,162.5
2018-03-01 00:00:00 UTC,PB,162.3
2017-09-01 00:00:00 UTC,MG,162
2017-07-01 00:00:00 UTC,AL,161.9
2017-11-01 00:00:00 UTC,PR,161.5
2017-10-01 00:00:00 UTC,AC,161.5
2018-01-01 00:00:00 UTC,DF,161.5
2017-04-01 00:00:00 UTC,PE,161.2
2017-06-01 00:00:00 UTC,RN,161.2
2018-05-01 00:00:00 UTC,BA,161.1
2017-05-01 00:00:00 UTC,PI,161
2018-02-01 00:00:00 UTC,ES,160.8
2018-02-01 00:00:00 UTC,MT,160.7
2018-06-01 00:00:00 UTC,PR,160.5
2018-08-01 00:00:00 UTC,RS,160.3
2017-04-01 00:00:00 UTC,MG,160.2
2018-01-01 00:00:00 UTC,RJ,160
2018-04-01 00:00:00 UTC,DF,159.5
2017-12-01 00:00:00 UTC,RJ,159.4
2017-12-01 00:00:00 UTC,BA,159.1
2017-12-01 00:00:00 UTC,DF,159.1
2018-01-01 00:00:00 UTC,CE,158.9
2018-07-01 00:00:00 UTC,PR,158.8
2018-04-01 00:00:00 UTC,RS,158.7
2018-06-01 00:00:00 UTC,AM,158.7
2017-07-01 00:00:00 UTC,PI,158.6
2018-01-01 00:00:00 UTC,RS,158.5
2017-05-01 00:00:00 UTC,SC,158.5
2017-11-01 00:00:00 UTC,TO,158.4
2018-07-01 00:00:00 UTC,RJ,158.4
2017-12-01 00:00:00 UTC,SC,158.3
2017-08-01 00:00:00 UTC,RJ,158.3
2018-02-01 00:00:00 UTC,TO,158.2
2018-05-01 00:00:00 UTC,RS,158.1
2018-08-01 00:00:00 UTC,MG,157.6
2017-12-01 00:00:00 UTC,ES,157.6
2018-07-01 00:00:00 UTC,AP,157.5
2017-10-01 00:00:00 UTC,DF,156.7
2018-07-01 00:00:00 UTC,RS,156.6
2017-05-01 00:00:00 UTC,RJ,156.3
2017-06-01 00:00:00 UTC,ES,156.2
2018-06-01 00:00:00 UTC,GO,155.7
2018-02-01 00:00:00 UTC,PE,155.5
2018-08-01 00:00:00 UTC,DF,155.3
2017-12-01 00:00:00 UTC,MG,154.8
2017-07-01 00:00:00 UTC,SE,154.6
2016-11-01 00:00:00 UTC,GO,154.6
2017-11-01 00:00:00 UTC,MG,154.5
2018-08-01 00:00:00 UTC,RJ,154.3
2018-02-01 00:00:00 UTC,MG,154.2
2018-04-01 00:00:00 UTC,PA,154
2017-10-01 00:00:00 UTC,RS,153.7
2018-09-01 00:00:00 UTC,BA,153.6
2018-03-01 00:00:00 UTC,GO,153.6
2017-12-01 00:00:00 UTC,AP,153.1
2017-05-01 00:00:00 UTC,PE,153
2017-08-01 00:00:00 UTC,AM,152.8
2018-02-01 00:00:00 UTC,RS,152.7
2017-10-01 00:00:00 UTC,BA,152.6
2018-03-01 00:00:00 UTC,RJ,152.6
2018-05-01 00:00:00 UTC,PE,152.5
2017-08-01 00:00:00 UTC,MA,152.2
2017-11-01 00:00:00 UTC,BA,152.1
2018-02-01 00:00:00 UTC,PI,151.9
2018-04-01 00:00:00 UTC,AP,151.3
2017-09-01 00:00:00 UTC,DF,151.2
2018-01-01 00:00:00 UTC,BA,151
2017-08-01 00:00:00 UTC,BA,151
2017-06-01 00:00:00 UTC,DF,150.8
2018-05-01 00:00:00 UTC,TO,150.5
2017-07-01 00:00:00 UTC,PR,150.5
2016-10-01 00:00:00 UTC,GO,150.3
2017-09-01 00:00:00 UTC,RJ,150.1
2017-07-01 00:00:00 UTC,MG,150.1
2017-06-01 00:00:00 UTC,BA,150
2017-02-01 00:00:00 UTC,SC,149.9
2017-10-01 00:00:00 UTC,PA,149.2
2017-04-01 00:00:00 UTC,DF,149.1
2017-11-01 00:00:00 UTC,RR,149
2017-10-01 00:00:00 UTC,AM,148.9
2018-04-01 00:00:00 UTC,RJ,148.9
2017-12-01 00:00:00 UTC,RS,148.8
2018-03-01 00:00:00 UTC,RS,148.6
